,headline.main,state,headline_raw,head_split
30,Punishment And Crime; THE POWER OF LIFE OR DEATH. By Michael V. DiSalle with Lawrence G. Blochman. 214 pp. New York: Random House. $4.95. Punishment and Crime,New York,punishment and crime the power of life or death. by michael v. disalle with lawrence g. blochman. 214 pp. new york: random house. $4.95. punishment and crime,punishment and crime the power of life or death. by michael v. disalle with lawrence g. blochman. 214 pp. new york: random house. $4.95. punishment and crime
31,"YONKERS IGNORING CITY WATER CURBS; New York, Irked, Contends Emergency Still Exists YONKERS IGNORING CITY WATER CURBS",New York,"yonkers ignoring city water curbs new york, irked, contends emergency still exists yonkers ignoring city water curbs",yonkers ignoring city water curbs new york irked contends emergency still exists yonkers ignoring city water curbs
32,Montreal-New York Run As 4-Road Service to End,New York,montreal-new york run as 4-road service to end,montreal-new york run as 4-road service to end
33,"Fade-Out, Fade-In; MOVIES: The History of an Art and an Institution. By Richard Schickel. Illustrated. 208 pp. New York: Basic Books. $4.95.",New York,"fade-out, fade-in movies: the history of an art and an institution. by richard schickel. illustrated. 208 pp. new york: basic books. $4.95.",fade-out fade-in movies: the history of an art and an institution. by richard schickel. illustrated. 208 pp. new york: basic books. $4.95.
34,Arrival of Buyers in New York Area,New York,arrival of buyers in new york area,arrival of buyers in new york area
35,"THE NEW YORK TIMES, MONDAY, OCTOBER 10, 1966 . Bon Mot Wins $374,000 Race in Paris; SIGEBERT TRAILS BY HALF A LENGTH Bon Mot Wins Prix de L'Arc de Triomphe With Drive in Stretch Lionel 3d",New York,"the new york times, monday, october 10, 1966 . bon mot wins $374,000 race in paris sigebert trails by half a length bon mot wins prix de l'arc de triomphe with drive in stretch lionel 3d",the new york times monday october 10 1966 . bon mot wins $374000 race in paris sigebert trails by half a length bon mot wins prix de l'arc de triomphe with drive in stretch lionel 3d
36,"MODERN U.S. ART STIRS NEW DELHI; New York School, Pop and Op Get Mixed Reactions",New York,"modern u.s. art stirs new delhi new york school, pop and op get mixed reactions",modern u.s. art stirs new delhi new york school pop and op get mixed reactions
37,Reports of the Arrival of Out-of-Town Buyers in the New York Market Area; RETAIL CLASSIFIED BY OFFICE,New York,reports of the arrival of out-of-town buyers in the new york market area retail classified by office,reports of the arrival of out-of-town buyers in the new york market area retail classified by office
38,Table for High Tide for Waters Adjacent to New York,New York,table for high tide for waters adjacent to new york,table for high tide for waters adjacent to new york
39,"Wood, Field and Stream; New York's Experimental Projects With Large Mammals Are Lagging",New York,"wood, field and stream new york's experimental projects with large mammals are lagging",wood field and stream new york's experimental projects with large mammals are lagging
40,Arrival of Buyers in New York,New York,arrival of buyers in new york,arrival of buyers in new york
41,Rossetti Is Elected Democratic Leader; Rossetti Is Easily Elected Leader Of New York County Democrats,New York,rossetti is elected democratic leader rossetti is easily elected leader of new york county democrats,rossetti is elected democratic leader rossetti is easily elected leader of new york county democrats
42,"Melrose Josie, $18, Takes New York Sire Stakes Pace at Yonkers Raceway; ADIOS TREAT IS 2D 1N $75,000 EVENT 3-Year-Old Filly Triumphs by a Head and Snaps a 15-Race Losing String",New York,"melrose josie, $18, takes new york sire stakes pace at yonkers raceway adios treat is 2d 1n $75,000 event 3-year-old filly triumphs by a head and snaps a 15-race losing string",melrose josie $18 takes new york sire stakes pace at yonkers raceway adios treat is 2d 1n $75000 event 3-year-old filly triumphs by a head and snaps a 15-race losing string
43,NEW YORK CLEARING HOUSE STATEMENT,New York,new york clearing house statement,new york clearing house statement
44,Carlos Takes 200-Meter Dash in Mexico Pre-Olympics; NEW YORK RUNNER SCORES BY 4 FEET Piatkowski of Poland Victor in Discus With a Toss of 193 Feet 7 Inches,New York,carlos takes 200-meter dash in mexico pre-olympics new york runner scores by 4 feet piatkowski of poland victor in discus with a toss of 193 feet 7 inches,carlos takes 200-meter dash in mexico pre-olympics new york runner scores by 4 feet piatkowski of poland victor in discus with a toss of 193 feet 7 inches
45,Mrs. New York State: 'I've Never Been West of Buffalo; Not Too Nervous,New York,mrs. new york state: 'i've never been west of buffalo not too nervous,mrs. new york state: 'i've never been west of buffalo not too nervous
46,New York Central Lost $3.9-Million In Third Quarter; CENTRAL REPORTS LOSS FOR QUARTER,New York,new york central lost $3.9-million in third quarter central reports loss for quarter,new york central lost $3.9-million in third quarter central reports loss for quarter
47,New York: A Modest Wager,New York,new york: a modest wager,new york: a modest wager
48,YARD IS REBUKED ON SUBMARINE LAG; Navy to Take Vessel From New York Shipbuilding,New York,yard is rebuked on submarine lag navy to take vessel from new york shipbuilding,yard is rebuked on submarine lag navy to take vessel from new york shipbuilding
49,New York Fans Swell Jersey Coffers,New York,new york fans swell jersey coffers,new york fans swell jersey coffers
50,Arrival of Buyers in New York Area,New York,arrival of buyers in new york area,arrival of buyers in new york area
51,Programs; NEW YORK CITY Rebekah Harkness Foundation Dance Festival,New York,programs new york city rebekah harkness foundation dance festival,programs new york city rebekah harkness foundation dance festival
52,Cotton Market; NEW YORK COTTON EXCHANGE Contract No. 1 (1-inch middling),New York,cotton market new york cotton exchange contract no. 1 (1-inch middling),cotton market new york cotton exchange contract no. 1 (1-inch middling)
53,Lindsay on Cities: 'Disaster or Glory'; New York City Government's Family Tree As It Looks Now And How It May Change Under Lindsay LINDSAY SAYS U.S. MUST HELP CITIES,New York,lindsay on cities: 'disaster or glory' new york city government's family tree as it looks now and how it may change under lindsay lindsay says u.s. must help cities,lindsay on cities: 'disaster or glory' new york city government's family tree as it looks now and how it may change under lindsay lindsay says u.s. must help cities
54,"Arrival of Buyers in New York Area; RETAIL CLASSIFIED BY OFFICE Arkwright, Inc., 50 W. 44th",New York,"arrival of buyers in new york area retail classified by office arkwright, inc., 50 w. 44th",arrival of buyers in new york area retail classified by office arkwright inc. 50 w. 44th
55,Arrival of Buyers in New York,New York,arrival of buyers in new york,arrival of buyers in new york
56,Reports of the Arrival of Out-of-Town Buyers in the New York Market Area; RETAIL CLASSIFIED BY OFFICE Reports of the Arrival of Buyers,New York,reports of the arrival of out-of-town buyers in the new york market area retail classified by office reports of the arrival of buyers,reports of the arrival of out-of-town buyers in the new york market area retail classified by office reports of the arrival of buyers
57,"A VISITOR TO HANOI INSPECTS DAMAGE LAID TO U.S. RAIDS; A Purposeful and Energetic Mood in Embattled Capital Found by a Times Man 2 RECENT ATTACKS CITED Witnesses Certain American Bombs Dropped Inside City Dec. 13 and 14 The writer of the following dispatch is an assistant managingeditor of The New York Times,who reached Hanoi Friday.",New York,"a visitor to hanoi inspects damage laid to u.s. raids a purposeful and energetic mood in embattled capital found by a times man 2 recent attacks cited witnesses certain american bombs dropped inside city dec. 13 and 14 the writer of the following dispatch is an assistant managingeditor of the new york times,who reached hanoi friday.",a visitor to hanoi inspects damage laid to u.s. raids a purposeful and energetic mood in embattled capital found by a times man 2 recent attacks cited witnesses certain american bombs dropped inside city dec. 13 and 14 the writer of the following dispatch is an assistant managingeditor of the new york timeswho reached hanoi friday.
58,2 New York Singers Win Marian Anderson Prizes,New York,2 new york singers win marian anderson prizes,2 new york singers win marian anderson prizes
59,A DAY IN CONNECTICUT; White-Steepled Churches and Old Colonial. Houses Await Visitors an Hour or So Out of New York City Home of Garden Club Splendid Houses Records of Mines Open in Afternoon,New York,a day in connecticut white-steepled churches and old colonial. houses await visitors an hour or so out of new york city home of garden club splendid houses records of mines open in afternoon,a day in connecticut white-steepled churches and old colonial. houses await visitors an hour or so out of new york city home of garden club splendid houses records of mines open in afternoon
60,Sofman Is Leading Wrestler At New York A.C. Tourney,New York,sofman is leading wrestler at new york a.c. tourney,sofman is leading wrestler at new york a.c. tourney
61,Samuel Weiss & Co. Joins New York Stock Exchange,New York,samuel weiss & co. joins new york stock exchange,samuel weiss & co. joins new york stock exchange
62,Arrival of Out-of-Town Buyers in the New York City Market; ARRIVAL OF BUYERS,New York,arrival of out-of-town buyers in the new york city market arrival of buyers,arrival of out-of-town buyers in the new york city market arrival of buyers
63,"RANGERS BOW, 5-1, TO LEAFS AND FALL TO FOURTH PLACE; Third Is Highest New York Can Finish After Final Game Here Today RANGERS BOW, 5-1; DROP TO FOURTH",New York,"rangers bow, 5-1, to leafs and fall to fourth place third is highest new york can finish after final game here today rangers bow, 5-1 drop to fourth",rangers bow 5-1 to leafs and fall to fourth place third is highest new york can finish after final game here today rangers bow 5-1 drop to fourth
64,"Nancy B. Bland, Colby Graduate, Is Future Bride; Affianced to Horace W. Donegan 2d, Nephew of New York Bishop",New York,"nancy b. bland, colby graduate, is future bride affianced to horace w. donegan 2d, nephew of new york bishop",nancy b. bland colby graduate is future bride affianced to horace w. donegan 2d nephew of new york bishop
65,Polish Major Wins Saber Final; Pawlowski Defeats Pezsa in Fence-off at New York A.C.,New York,polish major wins saber final pawlowski defeats pezsa in fence-off at new york a.c.,polish major wins saber final pawlowski defeats pezsa in fence-off at new york a.c.
66,JAPAN PROJECTING TRANSPORT SPURT; 15-Year Plan Calls for Vast Growth of All Facilities Special to The New York Times,New York,japan projecting transport spurt 15-year plan calls for vast growth of all facilities special to the new york times,japan projecting transport spurt 15-year plan calls for vast growth of all facilities special to the new york times
67,New York's Irish March and Dance At the Waldorf; 127-Year-Old Emerald Ball Attracts at Least One Italian-American,New York,new york's irish march and dance at the waldorf 127-year-old emerald ball attracts at least one italian-american,new york's irish march and dance at the waldorf 127-year-old emerald ball attracts at least one italian-american
68,Reports of the Arrival of Out-of--Town Buyers in the New York Market,New York,reports of the arrival of out-of--town buyers in the new york market,reports of the arrival of out-of--town buyers in the new york market
69,"RANGERS DEFEAT BLACK HAWKS, 6-5; New York Prevails Despite 4 Goals by Bobby Hull",New York,"rangers defeat black hawks, 6-5 new york prevails despite 4 goals by bobby hull",rangers defeat black hawks 6-5 new york prevails despite 4 goals by bobby hull
70,Adapting American Indian Artifacts to New York Apartments,New York,adapting american indian artifacts to new york apartments,adapting american indian artifacts to new york apartments
71,New York Illustrator Develops Spokeless Bicycle; Wide Variety of Ideas Covered By Patents Issued During Week,New York,new york illustrator develops spokeless bicycle wide variety of ideas covered by patents issued during week,new york illustrator develops spokeless bicycle wide variety of ideas covered by patents issued during week
72,COUGARS TO FACE SKYLINERS TODAY; New York Eleven Seeking Third Victory in Row,New York,cougars to face skyliners today new york eleven seeking third victory in row,cougars to face skyliners today new york eleven seeking third victory in row
73,GIACOMIN FALTERS IN NEW YORK'S NET; Larose and Beliveau Score Early Goals and Rousseau Tallies in 2d Period,New York,giacomin falters in new york's net larose and beliveau score early goals and rousseau tallies in 2d period,giacomin falters in new york's net larose and beliveau score early goals and rousseau tallies in 2d period
74,Schwarz Winner in New York A.C. Predicted-Log Contest; SKIPPER HAS SCORE OF 99.02 PER CENT Kalil Is Second With Mark,New York,schwarz winner in new york a.c. predicted-log contest skipper has score of 99.02 per cent kalil is second with mark,schwarz winner in new york a.c. predicted-log contest skipper has score of 99.02 per cent kalil is second with mark
75,METS SEND HILLER TO PHILS FOR LINZ; Trade Brings Former Yank Back to New York,New York,mets send hiller to phils for linz trade brings former yank back to new york,mets send hiller to phils for linz trade brings former yank back to new york
76,Javits Faces Two Hurdles; The Rest in New York Threat to Javits,New York,javits faces two hurdles the rest in new york threat to javits,javits faces two hurdles the rest in new york threat to javits
77,Macy's New York Picks Executive,New York,macy's new york picks executive,macy's new york picks executive
78,Arrival of Buyers in New York Area; RETAIL CLASSIFIED BY OFFICE,New York,arrival of buyers in new york area retail classified by office,arrival of buyers in new york area retail classified by office
79,Bridge:; New York Experts Rated High For International Team Trials,New York,bridge: new york experts rated high for international team trials,bridge: new york experts rated high for international team trials
80,"In New York's Spanish Alps, Roast Pig Alfresco Tops the Menu",New York,"in new york's spanish alps, roast pig alfresco tops the menu",in new york's spanish alps roast pig alfresco tops the menu
81,GIANTS AND JETS TO BEGIN TRAINING; New York Elevens to Open Camps on Thursday,New York,giants and jets to begin training new york elevens to open camps on thursday,giants and jets to begin training new york elevens to open camps on thursday
82,"HARRY N. ATWOOD, EARLY AVIATOR, 83; First Man to Fly Over New York City, in 1911, Dies",New York,"harry n. atwood, early aviator, 83 first man to fly over new york city, in 1911, dies",harry n. atwood early aviator 83 first man to fly over new york city in 1911 dies
83,Reports of the Arrival of Out-of-Town Buyers in the New York Market Area; Arrival of Buyers,New York,reports of the arrival of out-of-town buyers in the new york market area arrival of buyers,reports of the arrival of out-of-town buyers in the new york market area arrival of buyers
84,Arrival of Buyers in New York,New York,arrival of buyers in new york,arrival of buyers in new york
85,Observer: The Ear-Plug Defenses of New York; Born With Ear Plugs What Noise? The Fragile Identity And The Miniskirt The 'Now' Style,New York,observer: the ear-plug defenses of new york born with ear plugs what noise? the fragile identity and the miniskirt the 'now' style,observer: the ear-plug defenses of new york born with ear plugs what noise? the fragile identity and the miniskirt the 'now' style
86,First New York Exchange Seat For Woman Sought by Analyst; WOMAN SEEKING A BIG-BOARD SEAT,New York,first new york exchange seat for woman sought by analyst woman seeking a big-board seat,first new york exchange seat for woman sought by analyst woman seeking a big-board seat
87,Labor Embraces Art; Lithographers' Local Will Sponsor Advanced Workshop in New York,New York,labor embraces art lithographers' local will sponsor advanced workshop in new york,labor embraces art lithographers' local will sponsor advanced workshop in new york
88,New Court League Signs Player From N.B.A; Bulls Mueller Joins New York--Bid for Chamberlain Off,New York,new court league signs player from n.b.a bulls mueller joins new york--bid for chamberlain off,new court league signs player from n.b.a bulls mueller joins new york--bid for chamberlain off
89,"CITIZEN LEADERS OF CITY ORGANIZE TO AID THE SLUMS; New York Coalition, Headed by Christian Herter Jr., Seeking Private Help 105 MEMBERS IN GROUP Initial Goal to Be Jobs and Training Mayor Praises Approach to Problem CITIZEN LEADERS PLAN AID TO SLUMS",New York,"citizen leaders of city organize to aid the slums new york coalition, headed by christian herter jr., seeking private help 105 members in group initial goal to be jobs and training mayor praises approach to problem citizen leaders plan aid to slums",citizen leaders of city organize to aid the slums new york coalition headed by christian herter jr. seeking private help 105 members in group initial goal to be jobs and training mayor praises approach to problem citizen leaders plan aid to slums
90,"Growth in 31-County New York Area, 1965-2000 Households by Size of Income",New York,"growth in 31-county new york area, 1965-2000 households by size of income",growth in 31-county new york area 1965-2000 households by size of income
91,World in Bimini and New York,New York,world in bimini and new york,world in bimini and new york
92,'Sculpture: New York Scene' Uptown; 17 Display Their Work at Riverside Museum,New York,'sculpture: new york scene' uptown 17 display their work at riverside museum,'sculpture: new york scene' uptown 17 display their work at riverside museum
93,Bank of New York Fills Positions,New York,bank of new york fills positions,bank of new york fills positions
94,Dance: Bostonians' New York Debut,New York,dance: bostonians' new york debut,dance: bostonians' new york debut
95,New York's Philharmonic,New York,new york's philharmonic,new york's philharmonic
96,Arrival of Buyers in New York; RETAIL,New York,arrival of buyers in new york retail,arrival of buyers in new york retail
97,Table for High Tide for Waters Adjacent to New York; (Hours are given In Eastern Standard Time.),New York,table for high tide for waters adjacent to new york (hours are given in eastern standard time.),table for high tide for waters adjacent to new york (hours are given in eastern standard time.)
98,4 PORTS SEEKING A CONTAINER ROLE; Fight to Gain Growing Trade Along With New York,New York,4 ports seeking a container role fight to gain growing trade along with new york,4 ports seeking a container role fight to gain growing trade along with new york
99,"Jackson Pitches One-Hitter as Phils Stop Mets, 4-0; Red Sox Top Yanks; 7- 3-RUN OUTBURST IN FIRST DECISIVE Right-Hander Posts His 18th Straight Over New York Since 1962 Opener",New York,"jackson pitches one-hitter as phils stop mets, 4-0 red sox top yanks 7- 3-run outburst in first decisive right-hander posts his 18th straight over new york since 1962 opener",jackson pitches one-hitter as phils stop mets 4-0 red sox top yanks 7- 3-run outburst in first decisive right-hander posts his 18th straight over new york since 1962 opener
0,"WASHINGTON NOTE SOLD FOR $20,000; General's Brief Letter Was Written July 4, 1776",Washington,"washington note sold for $20,000 general's brief letter was written july 4, 1776",washington note sold for $20000 general's brief letter was written july 4 1776
1,Washington: How Corrupt Is America?,Washington,washington: how corrupt is america?,washington: how corrupt is america?
2,WASHINGTON SUBURB TO VOTE ON BUSING,Washington,washington suburb to vote on busing,washington suburb to vote on busing
3,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
4,A Ferry Where Washington Tossed That Dollar,Washington,a ferry where washington tossed that dollar,a ferry where washington tossed that dollar
5,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
6,3 Washington Crews Win,Washington,3 washington crews win,3 washington crews win
7,Washington: The Kosygin Visit to the United Nations,Washington,washington: the kosygin visit to the united nations,washington: the kosygin visit to the united nations
8,MORE SNOW FALLS ON ATLANTIC CITY; Stores Are Closed--Traffic Disrupted in Washington,Washington,more snow falls on atlantic city stores are closed--traffic disrupted in washington,more snow falls on atlantic city stores are closed--traffic disrupted in washington
9,The Proceedings In Washington; THE PRESIDENT,Washington,the proceedings in washington the president,the proceedings in washington the president
10,Washington Rejects Idea of a Breakup; U.S. CAN'T ACCEPT IDEA OF BREAKUP,Washington,washington rejects idea of a breakup u.s. can't accept idea of breakup,washington rejects idea of a breakup u.s. can't accept idea of breakup
11,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
12,Harvard and Princeton Favored in Key Games as Ivy Season Ends Today; CRIMSON CHOICE TO DEFEAT YALE Princeton Can Win Title by Beating Dartmouth--Bowl Bid Washington's Aim Big Six Title at Stake Many Rate Navy Tops,Washington,harvard and princeton favored in key games as ivy season ends today crimson choice to defeat yale princeton can win title by beating dartmouth--bowl bid washington's aim big six title at stake many rate navy tops,harvard and princeton favored in key games as ivy season ends today crimson choice to defeat yale princeton can win title by beating dartmouth--bowl bid washington's aim big six title at stake many rate navy tops
13,"The Proceedings In Washington; THE PRESIDENT THE SENATE Department and Agencies SCHEDULED FOR TODAY (Jan. 19, 1963)",Washington,"the proceedings in washington the president the senate department and agencies scheduled for today (jan. 19, 1963)",the proceedings in washington the president the senate department and agencies scheduled for today (jan. 19 1963)
14,Washington; How to Put the Treasury Into Orbit,Washington,washington how to put the treasury into orbit,washington how to put the treasury into orbit
15,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
16,Washington; On the Art of Quitting and Firing,Washington,washington on the art of quitting and firing,washington on the art of quitting and firing
17,Washington: 'Count Ten Before You Hurt.',Washington,washington: 'count ten before you hurt.',washington: 'count ten before you hurt.'
18,Washington Proceedings,Washington,washington proceedings,washington proceedings
19,Washington Proceedings,Washington,washington proceedings,washington proceedings
20,Washington Proceedings; THE PRESIDENT,Washington,washington proceedings the president,washington proceedings the president
21,Washington Proceedings,Washington,washington proceedings,washington proceedings
22,Home Rule in Washington,Washington,home rule in washington,home rule in washington
23,ONE DIES AS CLIFF FALLS INTO RIVER; Farmer in Washington State Is Victim of Huge Wave,Washington,one dies as cliff falls into river farmer in washington state is victim of huge wave,one dies as cliff falls into river farmer in washington state is victim of huge wave
24,Washington Proceedings,Washington,washington proceedings,washington proceedings
25,Washington Proceedings; YESTERDAY,Washington,washington proceedings yesterday,washington proceedings yesterday
26,Washington Proceedings,Washington,washington proceedings,washington proceedings
27,"Supreme Court to Rule On a Piggybacking Case; WASHINGTON, April 18 (AP)",Washington,"supreme court to rule on a piggybacking case washington, april 18 (ap)",supreme court to rule on a piggybacking case washington april 18 (ap)
28,",Elementary School Rosters 'ln Washington 91% Negro",Washington,",elementary school rosters 'ln washington 91% negro",elementary school rosters 'ln washington 91% negro
29,Washington: A Marshall Plan for Youth?,Washington,washington: a marshall plan for youth?,washington: a marshall plan for youth?
30,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
31,The Debate on Bombing; Washington Divided on Resumption But Proponents Appear to Prevail,Washington,the debate on bombing washington divided on resumption but proponents appear to prevail,the debate on bombing washington divided on resumption but proponents appear to prevail
32,Washington Proceedings; THE PRESIDENT,Washington,washington proceedings the president,washington proceedings the president
33,India Says U.S. Shift May Help Pakistan Get Arms; Easing of Washington Terms on Third Countries Seen,Washington,india says u.s. shift may help pakistan get arms easing of washington terms on third countries seen,india says u.s. shift may help pakistan get arms easing of washington terms on third countries seen
34,MOSCOW CHARGES 2D U.S. RAID ON SHIP; Washington Acknowledges Planes May Have Struck Freighter at Haiphong MOSCOW CHARGES NEW SHIP ATTACK,Washington,moscow charges 2d u.s. raid on ship washington acknowledges planes may have struck freighter at haiphong moscow charges new ship attack,moscow charges 2d u.s. raid on ship washington acknowledges planes may have struck freighter at haiphong moscow charges new ship attack
35,"Mrs. James Cheston, Owner Of Home Washington Used",Washington,"mrs. james cheston, owner of home washington used",mrs. james cheston owner of home washington used
36,Washington: McCarthy and the Congressional Elections; The Conservative Pressures Political Facts of Life,Washington,washington: mccarthy and the congressional elections the conservative pressures political facts of life,washington: mccarthy and the congressional elections the conservative pressures political facts of life
37,Prospects for Peace; Washington Feels Cease-Fire Must Await a Test of Military Power,Washington,prospects for peace washington feels cease-fire must await a test of military power,prospects for peace washington feels cease-fire must await a test of military power
38,Washington Proceedings,Washington,washington proceedings,washington proceedings
39,Military Recruiting Barred By George Washington U.,Washington,military recruiting barred by george washington u.,military recruiting barred by george washington u.
40,China Acknowledges Serious Epidemic in South; Officials in Washington Study Reports of Meningitis in Four Provinces,Washington,china acknowledges serious epidemic in south officials in washington study reports of meningitis in four provinces,china acknowledges serious epidemic in south officials in washington study reports of meningitis in four provinces
41,WASHINGTON PILOT WILL MEET DEVINE; Hodges Has Year to Go on Senator Pact Led Team to 6th-Place Tie in '67,Washington,washington pilot will meet devine hodges has year to go on senator pact led team to 6th-place tie in '67,washington pilot will meet devine hodges has year to go on senator pact led team to 6th-place tie in '67
42,Negro to Be Named Washington 'Mayor'; Negro Is Chosen to Head Government in Capital,Washington,negro to be named washington 'mayor' negro is chosen to head government in capital,negro to be named washington 'mayor' negro is chosen to head government in capital
43,U.S. OFFICE STONED BY MOB IN YEMEN; Americans Are Detained-- Washington Protests U.S. OFFICE STONED BY MOB IN YEMEN,Washington,u.s. office stoned by mob in yemen americans are detained-- washington protests u.s. office stoned by mob in yemen,u.s. office stoned by mob in yemen americans are detained-- washington protests u.s. office stoned by mob in yemen
44,Washington Proceedings,Washington,washington proceedings,washington proceedings
45,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
46,"T.V. COMMERCIAL, VITRIOLIC SCORE IN RICH FUTURITY; Anderson, Shoemaker Ride Winners of Split $371,750 Arlington-Washington",Washington,"t.v. commercial, vitriolic score in rich futurity anderson, shoemaker ride winners of split $371,750 arlington-washington",t.v. commercial vitriolic score in rich futurity anderson shoemaker ride winners of split $371750 arlington-washington
47,'Death in Family' Shuts Manhattan Candy Store; 16-Year-Old Is Charged With Slaying of Shopkeeper in Washington Heights Suspect Arrested Radio Cars Used Car Speeds Away,Washington,'death in family' shuts manhattan candy store 16-year-old is charged with slaying of shopkeeper in washington heights suspect arrested radio cars used car speeds away,'death in family' shuts manhattan candy store 16-year-old is charged with slaying of shopkeeper in washington heights suspect arrested radio cars used car speeds away
48,Washington proceedings,Washington,washington proceedings,washington proceedings
49,Washington Asks Report,Washington,washington asks report,washington asks report
50,'BAREFOOT' PARK IS WASHINGTON SQ.; Central Loses to 'Village' as Film Version Seeks Color,Washington,'barefoot' park is washington sq. central loses to 'village' as film version seeks color,'barefoot' park is washington sq. central loses to 'village' as film version seeks color
51,Washington Proceedings; YESTERDAY,Washington,washington proceedings yesterday,washington proceedings yesterday
52,Washington Proceedings,Washington,washington proceedings,washington proceedings
53,"Washington Proceedings; YESTERDAY (June 23, 1966) THE PRESIDENT",Washington,"washington proceedings yesterday (june 23, 1966) the president",washington proceedings yesterday (june 23 1966) the president
54,Washington Proceedings,Washington,washington proceedings,washington proceedings
55,COMMON MARKET DISAPPOINTS U.S.; Washington Is Not Pleased With Farm Proposals COMMON MARKET DISAPPOINTS U.S.,Washington,common market disappoints u.s. washington is not pleased with farm proposals common market disappoints u.s.,common market disappoints u.s. washington is not pleased with farm proposals common market disappoints u.s.
56,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
57,Washington: The Catholic Bishops on Birth Control; Vigorous Opposition,Washington,washington: the catholic bishops on birth control vigorous opposition,washington: the catholic bishops on birth control vigorous opposition
58,"Washington Proceedings; YESTERDAY (April 28, 1967) THE PRESIDENT",Washington,"washington proceedings yesterday (april 28, 1967) the president",washington proceedings yesterday (april 28 1967) the president
59,Washington Proceedings,Washington,washington proceedings,washington proceedings
60,Washington: The Evaded Moral Question in Vietnam,Washington,washington: the evaded moral question in vietnam,washington: the evaded moral question in vietnam
61,Jane R. Munson Will Be the Bride Of a Lieutenant; A George Washington Student Is Fiancee of John Holderness,Washington,jane r. munson will be the bride of a lieutenant a george washington student is fiancee of john holderness,jane r. munson will be the bride of a lieutenant a george washington student is fiancee of john holderness
62,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
63,Washington Proceedings,Washington,washington proceedings,washington proceedings
64,Washington Uninformed,Washington,washington uninformed,washington uninformed
65,The Proceedings In Washington; THE PRESIDENT,Washington,the proceedings in washington the president,the proceedings in washington the president
66,"Washington Proceedings; YESTERDAY (Jan. 13, 1966) THE PRESIDENT",Washington,"washington proceedings yesterday (jan. 13, 1966) the president",washington proceedings yesterday (jan. 13 1966) the president
67,The Proceedings In Washington; YESTERDAY,Washington,the proceedings in washington yesterday,the proceedings in washington yesterday
68,FRANCE ASSAILED ON VIETNAM ISSUE AT SEATO PARLEY; Britain and Pakistan Also Criticized at Washington Ministerial Conference DIFFERENCES ARE AIRED Australian and Thai Deplore Some Members' Failure to Play Active Asian Role,Washington,france assailed on vietnam issue at seato parley britain and pakistan also criticized at washington ministerial conference differences are aired australian and thai deplore some members' failure to play active asian role,france assailed on vietnam issue at seato parley britain and pakistan also criticized at washington ministerial conference differences are aired australian and thai deplore some members' failure to play active asian role
69,The Proceedings In Washington; THE PRESIDENT,Washington,the proceedings in washington the president,the proceedings in washington the president
70,"JIMMY LAKE, 87, DIES; WASHINGTON FIGURE",Washington,"jimmy lake, 87, dies washington figure",jimmy lake 87 dies washington figure
71,Washington Proceedings,Washington,washington proceedings,washington proceedings
72,The Proceedings In Washington,Washington,the proceedings in washington,the proceedings in washington
73,Washington Welcome Set,Washington,washington welcome set,washington welcome set
74,High-Speed Train Unveiled for Run to Capital; Speedy Coach to Bring Washington Closer--By Land,Washington,high-speed train unveiled for run to capital speedy coach to bring washington closer--by land,high-speed train unveiled for run to capital speedy coach to bring washington closer--by land
75,Cuban March on Washington,Washington,cuban march on washington,cuban march on washington
76,Washington Proceedings,Washington,washington proceedings,washington proceedings
77,The Proceedings In Washington; YESTERDAY,Washington,the proceedings in washington yesterday,the proceedings in washington yesterday
78,"Tigers Ahead by Game After Wilson Defeats Washington, 5-4; Single by Northrup TIGERS VANQUISH SENATORS, 5 TO 4",Washington,"tigers ahead by game after wilson defeats washington, 5-4 single by northrup tigers vanquish senators, 5 to 4",tigers ahead by game after wilson defeats washington 5-4 single by northrup tigers vanquish senators 5 to 4
79,Unofficial U.S.-Japanese Conference Urges Washington to Return Okinawa to Tokyo,Washington,unofficial u.s.-japanese conference urges washington to return okinawa to tokyo,unofficial u.s.-japanese conference urges washington to return okinawa to tokyo
80,SENATE UNIT BACKS MAYORAL NOMINEE; But Washington's City Chief Is Scored by Militant,Washington,senate unit backs mayoral nominee but washington's city chief is scored by militant,senate unit backs mayoral nominee but washington's city chief is scored by militant
81,Washington: What Kind of Nation? What Kind of Policy?; The Old Malaise,Washington,washington: what kind of nation? what kind of policy? the old malaise,washington: what kind of nation? what kind of policy? the old malaise
82,Washington Virus Keeps Employes And Pupils Home,Washington,washington virus keeps employes and pupils home,washington virus keeps employes and pupils home
83,Timing Favors Protectionists; Many Factors Confuse Outlook in Washington Serious Move Pressure Heavy,Washington,timing favors protectionists many factors confuse outlook in washington serious move pressure heavy,timing favors protectionists many factors confuse outlook in washington serious move pressure heavy
